elec_demand_CO1,elec_demand_FL1,elec_demand_GC1,elec_demand_GC2,elec_demand_GC3,elec_demand_GC4,elec_demand_ID1,elec_demand_KY1,elec_demand_MT1,elec_demand_NE1,elec_demand_OK1,elec_demand_TX2,elec_demand_WY1,elec_demand_eastern0,elec_demand_eastern1,elec_demand_eastern2,elec_demand_eastern3,elec_demand_eastern4,elec_demand_eastern5,elec_demand_eastern6,elec_demand_western1,elec_demand_western2,elec_demand_western3
11880.0,46739.0,12308.0,17801.0,5478.0,11814.0,4441.0,13329.0,2832.0,6059.0,10729.0,41517.0,3813.0,168668.0,4623.0,40577.0,31375.0,114300.0,73620.0,29957.0,30429.0,67545.0,20744.0
12126.0,46965.0,12265.0,17737.0,5459.0,11809.0,4571.0,13144.0,2860.0,5909.0,10602.0,41370.0,3805.0,163212.0,4524.0,40149.0,31274.0,113591.0,72498.0,28810.0,31315.0,71344.0,21530.0
12118.0,46160.0,12020.0,17384.0,5350.0,11616.0,4568.0,12697.0,2791.0,5693.0,10271.0,40546.0,3788.0,155126.0,4485.0,39389.0,30580.0,111549.0,70319.0,27411.0,31363.0,72781.0,21544.0
12004.0,44277.0,11581.0,16748.0,5155.0,11214.0,4505.0,12112.0,2718.0,5439.0,9956.0,39062.0,3747.0,147276.0,4267.0,37447.0,29609.0,107794.0,67305.0,25684.0,30814.0,72306.0,21182.0
11711.0,42375.0,11178.0,16166.0,4975.0,10669.0,4408.0,11578.0,2631.0,5353.0,9724.0,37705.0,3660.0,141069.0,4147.0,35809.0,28530.0,103795.0,64180.0,24128.0,29951.0,70606.0,20568.0
11191.0,41048.0,10824.0,15653.0,4818.0,10202.0,4181.0,11216.0,2476.0,5263.0,9653.0,36509.0,3559.0,137652.0,3959.0,34489.0,27638.0,100992.0,62032.0,23223.0,28471.0,67901.0,19783.0
10714.0,41362.0,10723.0,15508.0,4773.0,10031.0,3949.0,11207.0,2351.0,5258.0,9624.0,36167.0,3429.0,138082.0,3864.0,33735.0,27342.0,101614.0,61511.0,23123.0,26852.0,64491.0,18943.0
10608.0,41891.0,10879.0,15734.0,4843.0,10105.0,3798.0,11183.0,2282.0,5380.0,9880.0,36697.0,3396.0,136819.0,3855.0,33775.0,27726.0,101832.0,61685.0,22725.0,25284.0,61522.0,18567.0
10777.0,42002.0,10986.0,15889.0,4890.0,10169.0,3718.0,11014.0,2299.0,5455.0,10104.0,37057.0,3410.0,134267.0,3837.0,33431.0,28028.0,100713.0,60959.0,21835.0,24715.0,60604.0,18579.0
10755.0,42909.0,11032.0,15953.0,4910.0,10042.0,3752.0,11166.0,2269.0,5539.0,10280.0,37209.0,3460.0,138846.0,3765.0,32443.0,27953.0,101387.0,60808.0,22143.0,24722.0,60958.0,18756.0
